Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-mirror-protection-mist,Master Cleanse - Mirror - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Mirror",true,Size,16,#VALUE!,25,25,Master_Cleanse,Protection_Mist,Mirror,60ml,,,,,Master Cleanse - Mirror - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Mirror - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mirror-protection-mist,,,,,,,,16,#VALUE!,25,25,Master_Cleanse,Protection_Mist,Mirror,120ml,,,,,Master Cleanse - Mirror - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-physical-body-protection-mist,Master Cleanse - Physical Body - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Physical Body",true,Size,16,#VALUE!,32,32,Master_Cleanse,Protection_Mist,Physical_Body,60ml,,,,,Master Cleanse - Physical Body - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Physical Body - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-physical-body-protection-mist,,,,,,,,16,#VALUE!,32,32,Master_Cleanse,Protection_Mist,Physical_Body,120ml,,,,,Master Cleanse - Physical Body - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-psychic-protection-protection-mist,Master Cleanse - Psychic Protection - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Psychic Protection",true,Size,16,#VALUE!,37,37,Master_Cleanse,Protection_Mist,Psychic_Protection,60ml,,,,,Master Cleanse - Psychic Protection - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Psychic Protection - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-psychic-protection-protection-mist,,,,,,,,16,#VALUE!,37,37,Master_Cleanse,Protection_Mist,Psychic_Protection,120ml,,,,,Master Cleanse - Psychic Protection - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sexual-healing-protection-mist,Master Cleanse - Sexual Healing - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Sexual Healing",true,Size,16,#VALUE!,33,33,Master_Cleanse,Protection_Mist,Sexual_Healing,60ml,,,,,Master Cleanse - Sexual Healing - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Sexual Healing - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sexual-healing-protection-mist,,,,,,,,16,#VALUE!,33,33,Master_Cleanse,Protection_Mist,Sexual_Healing,120ml,,,,,Master Cleanse - Sexual Healing - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-shaman-protection-mist,Master Cleanse - Shaman - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Shaman",true,Size,16,#VALUE!,25,25,Master_Cleanse,Protection_Mist,Shaman,60ml,,,,,Master Cleanse - Shaman - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Shaman - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-shaman-protection-mist,,,,,,,,16,#VALUE!,25,25,Master_Cleanse,Protection_Mist,Shaman,120ml,,,,,Master Cleanse - Shaman - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
