Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-melissa-healing-balm,Traditional - Melissa - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Melissa",true,Size,13,#VALUE!,23,23,Traditional,Healing_Balm,Melissa,60ml,,,,,Traditional - Melissa - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Melissa - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-melissa-healing-balm,,,,,,,,13,#VALUE!,23,23,Traditional,Healing_Balm,Melissa,120ml,,,,,Traditional - Melissa - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-mint-healing-balm,Traditional - Mint - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Mint",true,Size,13,#VALUE!,20,20,Traditional,Healing_Balm,Mint,60ml,,,,,Traditional - Mint - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Mint - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-mint-healing-balm,,,,,,,,13,#VALUE!,20,20,Traditional,Healing_Balm,Mint,120ml,,,,,Traditional - Mint - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-nag-champa-healing-balm,Traditional - Nag Champa - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Nag Champa",true,Size,13,#VALUE!,26,26,Traditional,Healing_Balm,Nag_Champa,60ml,,,,,Traditional - Nag Champa - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Nag Champa - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-nag-champa-healing-balm,,,,,,,,13,#VALUE!,26,26,Traditional,Healing_Balm,Nag_Champa,120ml,,,,,Traditional - Nag Champa - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-namaste-healing-balm,Traditional - Namaste - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Namaste",true,Size,13,#VALUE!,23,23,Traditional,Healing_Balm,Namaste,60ml,,,,,Traditional - Namaste - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Namaste - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-namaste-healing-balm,,,,,,,,13,#VALUE!,23,23,Traditional,Healing_Balm,Namaste,120ml,,,,,Traditional - Namaste - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-patience-healing-balm,Traditional - Patience - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Patience",true,Size,13,#VALUE!,24,24,Traditional,Healing_Balm,Patience,60ml,,,,,Traditional - Patience - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Patience - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-patience-healing-balm,,,,,,,,13,#VALUE!,24,24,Traditional,Healing_Balm,Patience,120ml,,,,,Traditional - Patience - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-relax-healing-balm,Traditional - Relax - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Relax",true,Size,13,#VALUE!,21,21,Traditional,Healing_Balm,Relax,60ml,,,,,Traditional - Relax - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Relax - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-relax-healing-balm,,,,,,,,13,#VALUE!,21,21,Traditional,Healing_Balm,Relax,120ml,,,,,Traditional - Relax - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-rose-healing-balm,Traditional - Rose - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Rose",true,Size,13,#VALUE!,20,20,Traditional,Healing_Balm,Rose,60ml,,,,,Traditional - Rose - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Rose - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-rose-healing-balm,,,,,,,,13,#VALUE!,20,20,Traditional,Healing_Balm,Rose,120ml,,,,,Traditional - Rose - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-sage-healing-balm,Traditional - Sage - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Sage",true,Size,13,#VALUE!,20,20,Traditional,Healing_Balm,Sage,60ml,,,,,Traditional - Sage - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Sage - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-sage-healing-balm,,,,,,,,13,#VALUE!,20,20,Traditional,Healing_Balm,Sage,120ml,,,,,Traditional - Sage - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-shine-healing-balm,Traditional - Shine - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Shine",true,Size,13,#VALUE!,21,21,Traditional,Healing_Balm,Shine,60ml,,,,,Traditional - Shine - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Shine - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-shine-healing-balm,,,,,,,,13,#VALUE!,21,21,Traditional,Healing_Balm,Shine,120ml,,,,,Traditional - Shine - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-sweetgrass-healing-balm,Traditional - Sweetgrass - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Sweetgrass",true,Size,13,#VALUE!,26,26,Traditional,Healing_Balm,Sweetgrass,60ml,,,,,Traditional - Sweetgrass - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Sweetgrass - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-sweetgrass-healing-balm,,,,,,,,13,#VALUE!,26,26,Traditional,Healing_Balm,Sweetgrass,120ml,,,,,Traditional - Sweetgrass - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-tantra-healing-balm,Traditional - Tantra - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Tantra",true,Size,13,#VALUE!,22,22,Traditional,Healing_Balm,Tantra,60ml,,,,,Traditional - Tantra - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Tantra - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-tantra-healing-balm,,,,,,,,13,#VALUE!,22,22,Traditional,Healing_Balm,Tantra,120ml,,,,,Traditional - Tantra - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-thieves-healing-balm,Traditional - Thieves - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Thieves",true,Size,13,#VALUE!,23,23,Traditional,Healing_Balm,Thieves,60ml,,,,,Traditional - Thieves - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Thieves - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-thieves-healing-balm,,,,,,,,13,#VALUE!,23,23,Traditional,Healing_Balm,Thieves,120ml,,,,,Traditional - Thieves - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-transform-healing-balm,Traditional - Transform - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Transform",true,Size,13,#VALUE!,25,25,Traditional,Healing_Balm,Transform,60ml,,,,,Traditional - Transform - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Transform - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-transform-healing-balm,,,,,,,,13,#VALUE!,25,25,Traditional,Healing_Balm,Transform,120ml,,,,,Traditional - Transform - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-violet-healing-balm,Traditional - Violet - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Violet",true,Size,13,#VALUE!,22,22,Traditional,Healing_Balm,Violet,60ml,,,,,Traditional - Violet - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Violet - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-violet-healing-balm,,,,,,,,13,#VALUE!,22,22,Traditional,Healing_Balm,Violet,120ml,,,,,Traditional - Violet - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-wild-love-healing-balm,Traditional - Wild Love - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Wild Love",true,Size,13,#VALUE!,25,25,Traditional,Healing_Balm,Wild_Love,60ml,,,,,Traditional - Wild Love - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Wild Love - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-wild-love-healing-balm,,,,,,,,13,#VALUE!,25,25,Traditional,Healing_Balm,Wild_Love,120ml,,,,,Traditional - Wild Love - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
