,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,Product Line,Product Type,Product Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-ginger-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Ginger_-_Front.png,1,Vintage - Ginger - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Ginger_-_Front.png,g,,,active
vintage-grapefruit-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Grapefruit_-_Front.png,1,Vintage - Grapefruit - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Grapefruit_-_Front.png,g,,,active
vintage-green-leaves-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Green_Leaves_-_Front.png,1,Vintage - Green Leaves - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Green_Leaves_-_Front.png,g,,,active
vintage-hawaiian-ginger-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Hawaiian_Ginger_-_Front.png,1,Vintage - Hawaiian Ginger - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Hawaiian_Ginger_-_Front.png,g,,,active
vintage-ho-wood-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Ho_Wood_-_Front.png,1,Vintage - Ho Wood - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Ho_Wood_-_Front.png,g,,,active
vintage-hyssop-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Hyssop_-_Front.png,1,Vintage - Hyssop - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Hyssop_-_Front.png,g,,,active
vintage-jamaican-spice-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Jamaican_Spice_-_Front.png,1,Vintage - Jamaican Spice - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Jamaican_Spice_-_Front.png,g,,,active
vintage-jamarosa-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Jamarosa_-_Front.png,1,Vintage - Jamarosa - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Jamarosa_-_Front.png,g,,,active
vintage-leather-&-lace-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Leather_&_Lace_-_Front.png,1,Vintage - Leather & Lace - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Leather_&_Lace_-_Front.png,g,,,active
vintage-lime-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Lime_-_Front.png,1,Vintage - Lime - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Lime_-_Front.png,g,,,active
