_id,Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils,__v
6030cea5332a4c433c2f8bf2,Traditional,Patience,,Everything that is meant to be will be,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Patience.ai,"balsam, five fold orange, lavender, rosewood, and tangerine",0
6030cea5332a4c433c2f8bf3,Traditional,Relax,,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Relax.ai,"bergamot, eucalyptus, rosemary, and ginger",0
6030cea5332a4c433c2f8bf4,Traditional,Rose,,Balancing the core,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Rose.ai,rose,0
6030cea5332a4c433c2f8bf5,Traditional,Sage,,Sage is crafted to clear your energy,TRUE,See deeply and serenely into the Universe,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sage.ai,"sage, lemon, fennel, rosemary, tea tree, spruce, cedar, and green oak moss",0
6030cea5332a4c433c2f8bf6,Traditional,Shine,,Be your own shine,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Shine.ai,"frankincense, myrrh, ylang-ylang",0
6030cea5332a4c433c2f8bf7,Traditional,Sweetgrass,,Bring in all the new clear energy,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sweetgrass.ai,sweetgrass,0
6030cea5332a4c433c2f8bf8,Traditional,Tantra,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Tantra.ai,tantra blend,0
6030cea5332a4c433c2f8bf9,Traditional,Thieves,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"cinnamon, five fold lemon, clove, eucalyptus, and rosemary",0
6030cea5332a4c433c2f8bfa,Traditional,Transform,,Sweet and easy evolution,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Transform.ai,"violet, rose, and jasmine",0
6030cea5332a4c433c2f8bfb,Traditional,Violet,,Ease of communication,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Violet.ai,violet,0
6030cea5332a4c433c2f8bfc,Traditional,Wild Love,,Accept the wild nature,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Wild Love.ai,"patchouli, ylang-ylang, aniseed",0
6030cea9332a4c433c2f8bfd,Vintage,All The Orange,,,TRUE,,,,"mandarin, sweet orange, and five fold orange",0
6030cea9332a4c433c2f8bfe,Vintage,Bergamot,,,TRUE,,,,bergamot,0
6030cea9332a4c433c2f8bff,Vintage,Cedar,,,TRUE,,,,cedar,0
6030cea9332a4c433c2f8c00,Vintage,Coconut,,,TRUE,,,,coconut,0
6030cea9332a4c433c2f8c01,Vintage,Coffee,,,TRUE,,,,coffee,0
6030cea9332a4c433c2f8c03,Vintage,Elder Rose,,,TRUE,,,,elder rose,0
6030cea9332a4c433c2f8c04,Vintage,Eucalyptus,,,TRUE,,,,eucalyptus,0
6030cea9332a4c433c2f8c05,Vintage,Frankincense,,,TRUE,,,,frankincense,0
6030cea9332a4c433c2f8c06,Vintage,Frankincense and Myrrh,,,TRUE,,,,frankincense and myrrh,0
6030cea9332a4c433c2f8c07,Vintage,Gardenia,,,TRUE,,,,gardenia,0
6030cea9332a4c433c2f8c08,Vintage,Ginger blossom,,,TRUE,,,,ginger blossom,0
6030cea9332a4c433c2f8c09,Vintage,Green Tea,,,TRUE,,,,green tea,0
6030cea9332a4c433c2f8c0a,Vintage,Hard Candy,,,TRUE,,,,hard candy,0
6030cea9332a4c433c2f8c0b,Vintage,Honey,,,TRUE,,,,honey,0
6030cea9332a4c433c2f8c0c,Vintage,Honeysuckle,,,TRUE,,,,honeysuckle,0
6030cea9332a4c433c2f8c0d,Vintage,Huckleberry,,,TRUE,,,,huckleberry,0
6030cea9332a4c433c2f8c0e,Vintage,Island Summer,,,TRUE,,,,island summer,0
6030cea9332a4c433c2f8c0f,Vintage,Japanese Cherry Blossom,,,TRUE,,,,japanese cherry blossom,0
6030cea9332a4c433c2f8c10,Vintage,Jasmine,,,TRUE,,,,jasmine,0
6030cea9332a4c433c2f8c11,Vintage,Lavender,,,TRUE,,,,lavender,0
6030cea9332a4c433c2f8c12,Vintage,Lemon,,,TRUE,,,,lemon,0
6030cea9332a4c433c2f8c13,Vintage,Lemon Blossom,,,TRUE,,,,lemon blossom,0
6030cea9332a4c433c2f8c14,Vintage,Lemongrass,,,TRUE,,,,lemongrass,0
6030cea9332a4c433c2f8c15,Vintage,Lily of the Valley,,,TRUE,,,,lily of the valley,0
6030cea9332a4c433c2f8c16,Vintage,Lotus,,,TRUE,,,,lotus,0
6030cea9332a4c433c2f8c17,Vintage,Magnolia,,,TRUE,,,,magnolia,0
6030cea9332a4c433c2f8c18,Vintage,Manchurian Dragon,,,TRUE,,,,manchurian dragon,0
6030cea9332a4c433c2f8c19,Vintage,Marbella,,,TRUE,,,,marbella,0
